time [s],Current[A],Voltage[V],Wire-feed[m/min],Gas-flow[L/min],Unnamed: 5
1.67052E+12,2988,303,108,142,
1.67052E+12,2967,301,108,142,
1.67052E+12,2979,298,108,142,
1.67052E+12,3016,299,108,142,
1.67052E+12,2940,304,108,142,
1.67052E+12,2988,302,108,140,
1.67052E+12,3022,299,108,140,
1.67052E+12,2989,299,108,140,
1.67052E+12,2946,299,108,140,
1.67052E+12,2946,299,108,140,
1.67052E+12,3000,299,108,140,
1.67052E+12,3011,299,108,139,
1.67052E+12,2987,299,108,139,
1.67052E+12,2987,299,108,139,
1.67052E+12,2975,299,108,139,
1.67052E+12,2975,299,108,139,
1.67052E+12,2970,302,108,139,
1.67052E+12,2915,305,108,139,
1.67052E+12,2941,303,108,139,
1.67052E+12,2972,305,108,139,
1.67052E+12,2894,304,108,139,
1.67052E+12,2993,304,108,139,
1.67052E+12,2997,304,108,139,
1.67052E+12,2954,305,108,141,
1.67052E+12,2955,296,108,141,
1.67052E+12,3044,296,108,141,
1.67052E+12,2985,305,108,141,
1.67052E+12,2963,308,108,141,
1.67052E+12,2881,302,108,143,
1.67052E+12,2988,307,108,143,
1.67052E+12,2860,305,108,143,
1.67052E+12,2860,304,108,143,
1.67052E+12,2931,300,108,143,
1.67052E+12,2952,300,108,143,
1.67052E+12,2963,301,108,143,
1.67052E+12,2941,298,108,141,
1.67052E+12,3053,300,108,141,
1.67052E+12,2977,302,108,141,
1.67052E+12,2992,306,108,141,
1.67052E+12,2956,309,108,141,
1.67052E+12,2970,300,108,142,
1.67052E+12,2942,298,108,142,
1.67052E+12,2942,306,108,142,
1.67052E+12,2977,306,108,142,
1.67052E+12,2963,296,108,142,
1.67052E+12,2999,298,108,142,
1.67052E+12,2979,298,108,142,
1.67052E+12,2979,296,108,141,
1.67052E+12,2991,298,108,141,
1.67052E+12,2968,296,108,141,
1.67052E+12,2986,301,108,141,
1.67052E+12,2976,301,108,141,
1.67052E+12,3058,297,108,140,
1.67052E+12,2998,300,108,140,
1.67052E+12,3001,298,108,140,
1.67052E+12,3001,299,108,140,
1.67052E+12,2988,303,108,140,
1.67052E+12,2988,301,108,140,
1.67052E+12,2962,303,108,140,
1.67052E+12,2946,301,108,140,
1.67052E+12,2999,302,108,140,
1.67052E+12,2978,301,108,140,
1.67052E+12,2978,302,108,140,
1.67052E+12,2978,301,108,140,
1.67052E+12,2924,306,108,140,
1.67052E+12,3003,305,108,142,
1.67052E+12,2961,301,108,142,
1.67052E+12,2981,301,108,142,
1.67052E+12,2991,302,108,142,
1.67052E+12,2966,302,108,142,
1.67052E+12,3046,297,107,141,
1.67052E+12,3035,296,107,141,
1.67052E+12,2937,302,107,141,
1.67052E+12,2937,302,107,141,
1.67052E+12,2977,308,107,141,
1.67052E+12,2960,307,107,141,
1.67052E+12,2937,301,108,143,
1.67052E+12,2937,300,108,143,
1.67052E+12,2969,306,108,143,
1.67052E+12,2952,305,108,143,
1.67052E+12,2919,300,108,143,
1.67052E+12,2968,300,108,143,
1.67052E+12,2984,300,108,143,
1.67052E+12,2966,300,108,140,
1.67052E+12,2955,306,108,140,
1.67052E+12,2938,305,108,140,
1.67052E+12,2928,306,108,140,
1.67052E+12,2928,304,108,140,
1.67052E+12,2942,306,108,140,
1.67052E+12,2956,300,108,139,
1.67052E+12,2940,302,108,139,
1.67052E+12,2981,301,108,139,
1.67052E+12,2971,311,108,139,
1.67052E+12,2961,312,108,139,
1.67052E+12,2912,306,108,139,
1.67052E+12,2876,308,108,139,
1.67052E+12,2900,306,108,139,
1.67052E+12,2900,308,108,139,
1.67052E+12,2979,303,108,139,
1.67052E+12,2966,302,108,139,
1.67052E+12,3056,296,108,143,
1.67052E+12,3027,298,108,143,
1.67052E+12,3005,297,108,143,
1.67052E+12,2966,302,108,143,
1.67052E+12,2893,305,108,143,
1.67052E+12,2907,300,108,143,
1.67052E+12,2997,307,108,143,
1.67052E+12,2977,305,108,143,
1.67052E+12,3033,302,108,143,
1.67052E+12,3073,301,108,143,
1.67052E+12,3048,301,108,143,
1.67052E+12,2937,304,108,143,
1.67052E+12,2907,306,108,141,
1.67052E+12,2967,301,108,141,
1.67052E+12,2994,309,108,141,
1.67052E+12,2939,308,108,141,
1.67052E+12,2862,303,108,141,
1.67052E+12,2996,300,108,141,
1.67052E+12,2981,301,108,141,
1.67052E+12,2867,309,108,143,
